accepted,cost
570000,1.62415e+06
571000,1.95833e+06
572000,2.09548e+06
573000,2.1531e+06
574000,2.12135e+06
575000,2.61108e+06
576000,2.7961e+06
577000,2.41556e+06
578000,1.89052e+06
579000,2.44768e+06
580000,2.14196e+06
581000,1.8693e+06
582000,1.90917e+06
583000,1.98422e+06
584000,1.59784e+06
585000,2.30032e+06
586000,2.00493e+06
587000,1.45976e+06
588000,1.53384e+06
589000,2.13565e+06
590000,2.69194e+06
591000,3.38144e+06
592000,1.81504e+06
593000,2.52549e+06
594000,2.09896e+06
595000,1.86714e+06
596000,1.64444e+06
597000,2.88867e+06
598000,2.40801e+06
599000,2.3427e+06
600000,2.8552e+06
601000,2.31238e+06
602000,2.26762e+06
603000,1.85431e+06
604000,2.14549e+06
605000,2.24844e+06
606000,2.48543e+06
607000,1.72328e+06
608000,2.72373e+06
609000,1.82084e+06
610000,1.18756e+06
611000,1.52285e+06
612000,1.70499e+06
613000,1.88251e+06
614000,2.53433e+06
615000,1.66315e+06
616000,3.13171e+06
617000,1.59828e+06
618000,1.50371e+06
619000,2.44739e+06
620000,2.37418e+06
621000,2.82796e+06
622000,2.12146e+06
623000,1.79434e+06
624000,1.49998e+06
625000,1.9516e+06
626000,2.67543e+06
627000,2.20647e+06
628000,1.84657e+06
629000,1.7679e+06
630000,2.26791e+06
631000,1.45552e+06
632000,2.24835e+06
633000,1.46703e+06
634000,1.79698e+06
635000,2.82782e+06
636000,1.46783e+06
637000,1.55356e+06
638000,1.10211e+06
639000,2.01409e+06
640000,2.3334e+06
641000,1.94801e+06
642000,1.48859e+06
643000,2.44246e+06
644000,1.88558e+06
645000,1.67131e+06
646000,2.1297e+06
647000,1.78293e+06
648000,1.73367e+06
649000,2.55176e+06
650000,1.87264e+06
651000,1.76473e+06
652000,2.48348e+06
653000,1.61551e+06
654000,2.28525e+06
655000,2.12449e+06
656000,2.09134e+06
657000,1.40417e+06
658000,2.85144e+06
659000,1.67729e+06
660000,1.18093e+06
661000,2.04463e+06
662000,1.77114e+06
663000,1.53793e+06
664000,941886
665000,1.78959e+06
666000,1.66837e+06
667000,1.94155e+06
668000,1.96673e+06
669000,1.37413e+06
670000,1.84283e+06
671000,1.82341e+06
672000,1.82004e+06
673000,1.65536e+06
674000,1.49042e+06
675000,1.40589e+06
676000,1.88343e+06
677000,1.21142e+06
678000,2.09204e+06
679000,2.18205e+06
680000,2.27104e+06
681000,1.82436e+06
682000,2.00948e+06
683000,1.91647e+06
684000,1.68102e+06
685000,1.50148e+06
686000,1.82292e+06
687000,2.36233e+06
688000,1.39645e+06
689000,1.84483e+06
690000,1.33185e+06
691000,2.36054e+06
692000,1.7634e+06
693000,2.41599e+06
694000,2.0838e+06
695000,1.83367e+06
696000,1.41623e+06
697000,1.29662e+06
698000,1.65879e+06
699000,807466
700000,2.0659e+06
701000,1.67843e+06
702000,1.49379e+06
703000,828742
704000,1.58701e+06
705000,1.69558e+06
706000,1.95858e+06
707000,2.00121e+06
708000,2.10209e+06
709000,1.61463e+06
710000,2.32081e+06
711000,1.54135e+06
712000,1.3823e+06
713000,1.95551e+06
714000,1.7119e+06
715000,1.66584e+06
716000,1.98871e+06
717000,1.88475e+06
718000,1.74985e+06
719000,2.10042e+06
720000,1.98716e+06
721000,1.642e+06
722000,1.51414e+06
723000,1.38105e+06
724000,1.78893e+06
725000,2.01504e+06
726000,1.62263e+06
727000,1.19944e+06
728000,1.30566e+06
729000,1.08384e+06
730000,1.39489e+06
731000,2.16765e+06
732000,1.14464e+06
733000,2.0714e+06
734000,2.10621e+06
735000,2.12781e+06
736000,1.1037e+06
737000,1.54654e+06
738000,1.99342e+06
739000,1.5321e+06
740000,944746
741000,1.68633e+06
742000,1.77928e+06
743000,1.3466e+06
744000,2.12949e+06
745000,2.37965e+06
746000,2.04783e+06
747000,1.90075e+06
748000,1.25008e+06
749000,2.23779e+06
750000,1.65148e+06
751000,2.05467e+06
752000,1.24711e+06
753000,1.25624e+06
754000,938853
755000,1.5095e+06
756000,1.84916e+06
757000,1.55967e+06
758000,2.03312e+06
759000,1.98392e+06
760000,2.09772e+06
761000,1.76684e+06
762000,1.33525e+06
763000,1.37619e+06
764000,1.4025e+06
765000,1.03829e+06
766000,975813
767000,907363
768000,1.68622e+06
769000,1.29373e+06
770000,1.1002e+06
771000,1.35386e+06
772000,1.79351e+06
773000,891799
774000,1.62545e+06
775000,2.12328e+06
776000,1.80121e+06
777000,1.2773e+06
778000,1.69831e+06
779000,1.58058e+06
780000,1.2276e+06
781000,1.29488e+06
782000,1.62062e+06
783000,1.84055e+06
784000,1.04634e+06
785000,1.82577e+06
786000,1.80735e+06
787000,1.24495e+06
788000,905357
789000,1.45125e+06
790000,2.27492e+06
791000,2.05805e+06
792000,1.30585e+06
793000,1.2644e+06
794000,1.42905e+06
795000,2.10796e+06
796000,920340
797000,1.30303e+06
798000,1.83863e+06
799000,1.51434e+06
800000,1.31933e+06
801000,1.75363e+06
802000,1.98594e+06
803000,1.4375e+06
804000,1.80045e+06
805000,1.6094e+06
806000,1.16157e+06
807000,2.07014e+06
808000,1.41993e+06
809000,1.39169e+06
810000,1.35011e+06
811000,1.61887e+06
812000,707479
813000,998718
814000,1.53859e+06
815000,1.23298e+06
816000,1.29138e+06
817000,852772
818000,1.60859e+06
819000,1.34693e+06
820000,1.6842e+06
821000,1.42208e+06
822000,1.64797e+06
823000,834533
824000,1.2142e+06
825000,1.26407e+06
826000,1.25307e+06
827000,1.86339e+06
828000,1.14171e+06
829000,1.3618e+06
830000,1.31631e+06
